index,Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,rating,playtime,ratings_count,game_series_count,platforms
21,Grand Theft Auto: San Andreas,2008.0,Action,Take-Two Interactive,0.08,0.02,0.0,0.01,0.11,4.5,2,2183,9,Xbox||macOS||PC||iOS||Xbox One||Android||PlayStation 3||Xbox 360||PlayStation 2
22,Super Mario World,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,4.41,6,520,17,Nintendo Switch||SNES||Wii U||Nintendo 3DS||Wii||Game Boy Advance
23,Super Mario World,2001.0,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,4.41,6,520,17,Nintendo Switch||SNES||Wii U||Nintendo 3DS||Wii||Game Boy Advance
24,Super Mario Land,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,3.92,8,94,4,Nintendo 3DS||Game Boy
25,Super Mario Bros. 3,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,4.38,25,396,17,SNES||Nintendo Switch||Game Boy Color||NES||Nintendo 3DS||Wii U||Wii
26,Super Mario Bros. 3,2003.0,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,4.38,25,396,17,SNES||Nintendo Switch||Game Boy Color||NES||Nintendo 3DS||Wii U||Wii
27,Grand Theft Auto: Vice City,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,4.43,2,1829,9,macOS||PC||iOS||Android||PlayStation 2||PlayStation 3||PlayStation 4||Xbox
28,Grand Theft Auto: Vice City,2003.0,Action,Take-Two Interactive,0.0,0.03,0.0,0.01,0.04,4.43,2,1829,9,macOS||PC||iOS||Android||PlayStation 2||PlayStation 3||PlayStation 4||Xbox
29,Brain Age 2: More Training in Minutes a Day,2005.0,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,0.0,0,5,0,Nintendo DS
30,Gran Turismo 3: A-Spec,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,4.19,0,21,7,PlayStation 2
31,Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,9.06,4.26,0.13,1.33,14.77,3.7,8,1006,24,PC||macOS||iOS||PlayStation 3||Wii||Xbox 360||Xbox One
32,Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,3.7,8,1006,24,PC||macOS||iOS||PlayStation 3||Wii||Xbox 360||Xbox One
33,Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,0.41,0.98,0.0,0.32,1.72,3.7,8,1006,24,PC||macOS||iOS||PlayStation 3||Wii||Xbox 360||Xbox One
34,Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,0.55,0.2,0.0,0.08,0.83,3.7,8,1006,24,PC||macOS||iOS||PlayStation 3||Wii||Xbox 360||Xbox One
35,Call of Duty: Black Ops,2010.0,Shooter,Activision,9.73,3.7,0.11,1.13,14.67,4.01,9,1183,24,PlayStation 3||Nintendo DS||PC||macOS||iOS||Xbox 360||Wii||Xbox One
36,Call of Duty: Black Ops,2010.0,Shooter,Activision,6.0,4.37,0.48,1.8,12.64,4.01,9,1183,24,PlayStation 3||Nintendo DS||PC||macOS||iOS||Xbox 360||Wii||Xbox One
37,Call of Duty: Black Ops,2010.0,Shooter,Activision,0.58,0.81,0.0,0.23,1.63,4.01,9,1183,24,PlayStation 3||Nintendo DS||PC||macOS||iOS||Xbox 360||Wii||Xbox One
38,Call of Duty: Black Ops,2010.0,Shooter,Activision,0.8,0.45,0.0,0.12,1.37,4.01,9,1183,24,PlayStation 3||Nintendo DS||PC||macOS||iOS||Xbox 360||Wii||Xbox One
39,Call of Duty: Black Ops,2010.0,Shooter,Activision,0.5,0.04,0.0,0.04,0.58,4.01,9,1183,24,PlayStation 3||Nintendo DS||PC||macOS||iOS||Xbox 360||Wii||Xbox One
