Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre,Publisher,platforms,Years_of_Release,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
Junior Classic Games,0.26,0.09,0.0,0.03,0.38,Misc,Avanquest,1,8.0,0,0,0,1,0,0,0,0,0,0,0,0
Naruto: Clash of Ninja Revolution 2,0.34,0.02,0.0,0.03,0.38,Fighting,Tomy Corporation,1,9.0,0,0,1,0,0,0,0,0,0,0,0,0
Headhunter,0.19,0.15,0.0,0.05,0.38,Action,Sega,2,15.0,1,0,0,0,0,0,0,0,0,0,0,0
Grandia Xtreme,0.07,0.05,0.25,0.02,0.38,Role-Playing,Enix Corporation,2,15.0,0,0,0,0,0,0,0,1,0,0,0,0
Gravitar,0.35,0.02,0.0,0.0,0.38,Action,Atari,3,35.0,1,0,0,0,0,0,0,0,0,0,0,0
4x4 EVO 2,0.29,0.08,0.0,0.01,0.38,Racing,Gathering of Developers,5,15.5,0,0,0,0,0,0,1,0,0,0,0,0
4x4 EVO 2,0.29,0.08,0.0,0.01,0.38,Racing,Vivendi Games,5,15.5,0,0,0,0,0,0,1,0,0,0,0,0
Shin Megami Tensei: Devil Summoner,0.0,0.0,0.38,0.0,0.38,Role-Playing,Atlus,2,22.0,0,0,0,0,0,0,0,1,0,0,0,0
Space Chimps,0.29,0.05,0.0,0.04,0.37999999999999995,Platform,Brash Entertainment,4,9.0,0,0,0,0,1,0,0,0,0,0,0,0
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,0.21000000000000002,0.12,0.0,0.04,0.37000000000000005,Action,THQ,2,6.0,1,0,0,0,0,0,0,0,0,0,0,0
Back to the Future: The Game,0.24000000000000002,0.08,0.0,0.04,0.37000000000000005,Adventure,Telltale Games,7,5.0,0,1,0,0,0,0,0,0,0,0,0,0
Outlaw Golf,0.28,0.08,0.0,0.01,0.37,Sports,TDK Mediactive,4,15.0,0,0,0,0,0,0,0,0,0,0,1,0
Shin Megami Tensei II,0.0,0.0,0.37,0.0,0.37,Role-Playing,Atlus,6,23.0,0,0,0,0,0,0,0,1,0,0,0,0
Fossil Fighters: Frontier,0.09,0.04,0.23,0.01,0.37,Role-Playing,Nintendo,1,3.0,0,0,0,0,0,0,0,1,0,0,0,0
Turok: Rage Wars,0.3,0.06,0.0,0.0,0.37,Shooter,Acclaim Entertainment,1,18.0,0,0,0,0,0,0,0,0,1,0,0,0
Petz Rescue: Ocean Patrol,0.35,0.0,0.0,0.03,0.37,Adventure,Ubisoft,1,9.0,0,1,0,0,0,0,0,0,0,0,0,0
Mega Man X Collection,0.22,0.12,0.0,0.03,0.37,Misc,Capcom,2,11.0,0,0,0,1,0,0,0,0,0,0,0,0
Dragonfire,0.35,0.02,0.0,0.0,0.37,Action,Imagic,3,36.0,1,0,0,0,0,0,0,0,0,0,0,0
World of Warcraft: Legion,0.14,0.2,0.0,0.03,0.37,Role-Playing,Activision,2,1.0,0,0,0,0,0,0,0,1,0,0,0,0
The Bible Game,0.22,0.12,0.0,0.03,0.37,Misc,Crave Entertainment,3,12.0,0,0,0,1,0,0,0,0,0,0,0,0
Kingdom Under Fire: Circle of Doom,0.18,0.12,0.04,0.03,0.37,Role-Playing,Microsoft Game Studios,2,10.0,0,0,0,0,0,0,0,1,0,0,0,0
Rune Factory: Frontier,0.16,0.13,0.04,0.03,0.37,Role-Playing,Rising Star Games,1,9.0,0,0,0,0,0,0,0,1,0,0,0,0
Rugby 15,0.1,0.22,0.0,0.060000000000000005,0.37,Sports,Bigben Interactive,5,2.0,0,0,0,0,0,0,0,0,0,0,1,0
Etrian Odyssey II: Heroes of Lagaard,0.09,0.0,0.27,0.01,0.37,Role-Playing,Atlus,1,6.0,0,0,0,0,0,0,0,1,0,0,0,0
Solaris,0.35,0.02,0.0,0.0,0.37,Shooter,Atari,2,31.0,0,0,0,0,0,0,0,0,1,0,0,0
